genus	mean_cohort1	se_cohort1	nz_cohort1	mean_cohort2	se_cohort2	nz_cohort2	mean_cohort3	se_cohort3	nz_cohort3	mean_cohort4	se_cohort4	nz_cohort4
Aquisediminimonas	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquisphaera	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquitalea	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arabiibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.121874	0.001699	1
Arachidicoccus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arachnia	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arawnvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arcanobacterium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Archaeoglobus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Archangium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arcobacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arcticibacterium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arenibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arenimonas	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aristophania	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aromatoleum	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arsenicicoccus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arsenophonus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arthrobacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Arthrospira	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Asaia	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Ascovirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Asfivirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Ashduovirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Asteriusvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Asticcacaulis	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Atadenovirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Athalassotoga	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Atlantibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Atlauavirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Atopobium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Atribacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Attisvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Attoomivirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Audreyjarvisvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aurantiacibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
